manufacturer,model,year,price,hand,fuel,engine_liters,horsepower,transmission,mileage
Ford,Focus,2012,10900,3,gasoline,1.6,125.0,robotic,196000
Ford,Focus,2011,12900,3,gasoline,1.6,125.0,robotic,192000
Ford,Focus,2012,9800,3,gasoline,1.6,125.0,robotic,175000
Ford,Kuga,2017,45900,2,gasoline,1.5,182.0,automatic,114000
Ford,Focus,2021,60000,2,gasoline,1.5,182.0,automatic,174000
Ford,Kuga,2016,29900,2,gasoline,1.5,182.0,automatic,136000
Ford,Puma,2023,88952,1,gasoline,1.0,125.0,robotic,57500
Ford,Kuga,2014,38000,2,gasoline,1.6,182.0,automatic,99550
Ford,S Max,2013,15300,4,gasoline,2.0,203.0,robotic,195600
Ford,Kuga,2016,30000,3,gasoline,1.5,182.0,automatic,177000
Ford,Focus,2020,40000,2,gasoline,1.5,182.0,automatic,163000
Ford,Focus,2017,25500,1,gasoline,1.5,150.0,automatic,98000
Ford,Focus,2009,4500,4,gasoline,1.6,100.0,automatic,236000
Ford,Kuga,2020,52500,2,gasoline,1.5,175.0,automatic,129000
Ford,Focus,2014,14900,3,gasoline,1.6,125.0,robotic,160000
Ford,Explorer,2021,163900,1,gasoline,2.3,300.0,automatic,78000
Ford,Focus,2012,15000,2,gasoline,1.6,125.0,robotic,230000
Ford,Focus,2012,10000,3,gasoline,1.6,125.0,robotic,160000
Ford,Mustang Mach E,2023,209000,1,electro,,,automatic,85000
Ford,Edge,2011,37500,3,gasoline,3.5,285.0,automatic,232000
Ford,Transit,2017,40000,1,diesel,2.0,130.0,manual,550000
Ford,Mustang,2022,244000,1,gasoline,5.0,460.0,automatic,34000
Ford,Mondeo,2009,5000,3,gasoline,2.3,161.0,automatic,256000
Ford,Tourneo Connect,2009,13500,2,diesel,1.8,90.0,manual,250000
Ford,Focus,2012,13900,3,gasoline,1.6,125.0,robotic,142600
Ford,Focus,2012,15500,2,gasoline,1.6,125.0,manual,250000
Ford,Focus,2010,7500,2,gasoline,1.6,100.0,automatic,285000
Ford,Mondeo,2012,20000,3,gasoline,2.0,202.0,robotic,202000
Ford,Focus,2011,12500,3,gasoline,1.6,125.0,robotic,287000
Ford,Focus,2012,8500,2,gasoline,1.6,125.0,robotic,179000
Ford,Transit,2017,40000,1,diesel,2.0,130.0,manual,550000
Ford,Mustang,2022,244000,1,gasoline,5.0,460.0,automatic,34000
Ford,Edge,2012,36990,2,gasoline,3.5,285.0,automatic,166000
Ford,Focus,2012,10000,3,gasoline,1.6,125.0,robotic,150000
Ford,Kuga,2019,49990,2,gasoline,1.5,175.0,automatic,129000
Ford,Focus,2017,9990,3,gasoline,1.5,150.0,automatic,263000
Ford,Mondeo,2009,5000,3,gasoline,2.3,161.0,automatic,256000
Ford,Focus,2021,59900,1,gasoline,1.5,182.0,automatic,123000
Ford,Edge,2016,49900,3,gasoline,3.5,285.0,automatic,175500
Ford,Tourneo Connect,2009,13500,2,diesel,1.8,90.0,manual,250000
Ford,Focus,2012,13900,3,gasoline,1.6,125.0,robotic,142600
Ford,Focus,2012,15500,2,gasoline,1.6,125.0,manual,250000
Ford,Focus,2010,7500,2,gasoline,1.6,100.0,automatic,285000
Ford,F 350,2019,84990,3,diesel,6.7,440.0,automatic,212000
Ford,Mustang,2019,145000,3,gasoline,2.3,310.0,automatic,138000
Ford,Mondeo,2012,20000,3,gasoline,2.0,202.0,robotic,202000
Ford,Mustang,2021,185000,2,gasoline,2.3,310.0,automatic,95000
Ford,Kuga,2017,46900,2,gasoline,1.5,182.0,automatic,113000
Ford,Edge,2017,64900,2,gasoline,3.5,285.0,automatic,167900
Ford,Explorer,2016,64900,2,gasoline,3.5,290.0,automatic,188000
Ford,Focus,2011,12500,3,gasoline,1.6,125.0,robotic,287000
Ford,Focus,2012,8500,2,gasoline,1.6,125.0,robotic,179000
Ford,Focus,2013,10000,4,gasoline,1.6,125.0,robotic,165500
Ford,Focus,2013,11000,3,gasoline,2.0,170.0,robotic,230000
Ford,Focus,2007,4000,2,gasoline,1.6,100.0,automatic,150000
Ford,Focus,2011,10000,3,gasoline,1.6,125.0,robotic,340000
Ford,Fiesta,2013,10000,4,gasoline,1.6,105.0,robotic,195000
Ford,Focus,2011,32000,3,gasoline,1.6,125.0,robotic,170000
Ford,Mondeo,2011,17000,3,gasoline,2.3,161.0,automatic,151810
Ford,S Max,2013,25000,3,gasoline,2.0,203.0,robotic,230000
Ford,Focus,2011,12500,3,gasoline,1.6,125.0,robotic,287000
Ford,Focus,2012,8500,2,gasoline,1.6,125.0,robotic,179000
Ford,Focus,2013,10000,4,gasoline,1.6,125.0,robotic,165500
Ford,Focus,2013,11000,3,gasoline,2.0,170.0,robotic,230000
Ford,Focus,2007,4000,2,gasoline,1.6,100.0,automatic,150000
Ford,Explorer,2018,109900,3,gasoline,3.5,290.0,automatic,84500
Ford,Focus,2014,13500,2,gasoline,1.6,125.0,robotic,237000
Ford,Kuga,2015,34900,4,gasoline,1.5,182.0,automatic,160000
Ford,Focus,2011,10000,3,gasoline,1.6,125.0,robotic,340000
Ford,Fiesta,2013,10000,4,gasoline,1.6,105.0,robotic,195000
Ford,Focus,2011,32000,3,gasoline,1.6,125.0,robotic,170000
Ford,Mondeo,2011,17000,3,gasoline,2.3,161.0,automatic,151810
Ford,S Max,2013,25000,3,gasoline,2.0,203.0,robotic,230000
Ford,Focus,2012,13000,3,gasoline,1.6,125.0,robotic,200000
Ford,Focus,2011,10500,3,gasoline,1.6,125.0,robotic,167000
Ford,Kuga,2018,49000,3,gasoline,1.5,182.0,automatic,113400
Ford,Focus,2013,15000,3,gasoline,1.6,125.0,robotic,184000
Ford,Kuga,2019,50000,2,gasoline,1.5,175.0,automatic,145000
Ford,Kuga,2013,32000,1,gasoline,1.6,182.0,automatic,202000
Ford,Mondeo,2011,8000,4,gasoline,2.3,161.0,automatic,230000
Ford,Focus,2012,13000,3,gasoline,2.0,170.0,robotic,225000
Ford,Mondeo,2008,7500,4,gasoline,2.3,161.0,automatic,195000
Ford,Focus,2014,16000,4,gasoline,1.6,125.0,robotic,194000
Ford,Galaxy,2015,34500,3,gasoline,2.0,203.0,robotic,202200
Ford,Mondeo,2010,6000,4,gasoline,2.3,161.0,automatic,265471
Ford,Focus,2012,14000,3,gasoline,1.6,125.0,robotic,116000
Ford,Fiesta,2011,7500,4,gasoline,1.4,96.0,automatic,202000
Ford,Focus,2013,15000,4,gasoline,2.0,170.0,robotic,188000
Ford,Edge,2014,30000,1,gasoline,2.0,240.0,automatic,220000
Ford,Kuga,2018,57000,2,gasoline,1.5,182.0,automatic,85000
Ford,Galaxy,2010,13500,2,gasoline,2.3,161.0,automatic,160000
Ford,Explorer,2015,57000,3,gasoline,3.5,290.0,automatic,204000
Ford,Focus,2012,13000,3,gasoline,2.0,170.0,robotic,225000
Ford,Mondeo,2008,7500,4,gasoline,2.3,161.0,automatic,195000
Ford,Focus,2014,16000,4,gasoline,1.6,125.0,robotic,194000
Ford,Galaxy,2015,34500,3,gasoline,2.0,203.0,robotic,202200
Ford,Mondeo,2010,6000,4,gasoline,2.3,161.0,automatic,265471
Ford,Focus,2012,14000,3,gasoline,1.6,125.0,robotic,116000
Ford,Fiesta,2011,7500,4,gasoline,1.4,96.0,automatic,202000
Ford,Focus,2013,15000,4,gasoline,2.0,170.0,robotic,188000
Ford,Edge,2014,30000,1,gasoline,2.0,240.0,automatic,220000
Ford,Kuga,2018,57000,2,gasoline,1.5,182.0,automatic,85000
Ford,Kuga,2017,55000,2,gasoline,1.5,182.0,automatic,170000
Ford,Focus,2012,15000,4,gasoline,2.0,170.0,robotic,167479
Ford,Focus,2008,6500,2,gasoline,1.6,100.0,automatic,235000
Ford,Focus,2011,9000,3,gasoline,1.6,125.0,robotic,188000
Ford,Focus,2013,15555,3,gasoline,1.6,125.0,robotic,221145
Ford,Focus,2010,8500,2,gasoline,1.6,100.0,automatic,230000
Ford,Focus,2012,11000,1,gasoline,1.6,125.0,robotic,180000
Ford,Edge,2013,29800,4,gasoline,3.5,285.0,automatic,248968
Ford,Kuga,2018,49000,3,gasoline,1.5,182.0,automatic,113400
Ford,Focus,2013,15000,3,gasoline,1.6,125.0,robotic,184000
Ford,Kuga,2019,50000,2,gasoline,1.5,175.0,automatic,145000
Ford,Kuga,2013,32000,1,gasoline,1.6,182.0,automatic,202000
Ford,Mondeo,2011,8000,4,gasoline,2.3,161.0,automatic,230000
Ford,S Max,2012,9000,2,gasoline,2.0,203.0,robotic,130000
Ford,Focus,2013,12000,4,gasoline,1.6,125.0,robotic,256000
Ford,Focus,2013,9500,3,gasoline,1.6,125.0,robotic,230000
Ford,Focus,2016,25000,2,gasoline,1.5,150.0,automatic,185000
Ford,Focus,2013,17000,2,gasoline,1.6,125.0,robotic,199000
Ford,S Max,2012,9000,2,gasoline,2.0,203.0,robotic,130000
